symbol,sic_code,sic_description,industry,sector
DOV,3530,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",stocks,Manufacturing
DOW,2821,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",stocks,Manufacturing
DPZ,5140,WHOLESALE-GROCERIES & RELATED PRODUCTS,stocks,Wholesale
DRI,5812,RETAIL-EATING PLACES,stocks,Retail
DTE,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
DUK,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
DVA,8090,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",stocks,Services
DVN,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
DXCM,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
EA,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
EBAY,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
ECL,2840,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",stocks,Manufacturing
ED,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
EFX,7320,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",stocks,Services
EG,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
EIX,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
EL,2844,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",stocks,Manufacturing
ELV,6324,HOSPITAL & MEDICAL SERVICE PLANS,stocks,Finance_Insurance_RealEstate
EME,1731,ELECTRICAL WORK,stocks,Construction
EMR,3600,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),stocks,Manufacturing
EOG,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
EPAM,7371,SERVICES-COMPUTER PROGRAMMING SERVICES,stocks,Services
EQIX,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
EQR,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
EQT,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
ERIE,6411,"INSURANCE AGENTS, BROKERS & SERVICE",stocks,Finance_Insurance_RealEstate
ES,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
ESS,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
ETN,3590,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,stocks,Manufacturing
ETR,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
EVRG,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
EW,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",stocks,Manufacturing
EXC,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
EXE,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
EXPD,4731,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,stocks,Transportation_Utilities
EXPE,4700,TRANSPORTATION SERVICES,stocks,Transportation_Utilities
EXR,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
F,3711,MOTOR VEHICLES & PASSENGER CAR BODIES,stocks,Manufacturing
FANG,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
FAST,5200,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",stocks,Retail
FCX,1000,METAL MINING,stocks,Mining
FDS,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",stocks,Services
FDX,4513,AIR COURIER SERVICES,stocks,Transportation_Utilities
FE,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
FFIV,3576,COMPUTER COMMUNICATIONS EQUIPMENT,stocks,Manufacturing
FICO,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
FIS,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
FISV,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
FITB,6022,STATE COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
FIX,1731,ELECTRICAL WORK,stocks,Construction
FOX,4833,TELEVISION BROADCASTING STATIONS,stocks,Transportation_Utilities
FOXA,4833,TELEVISION BROADCASTING STATIONS,stocks,Transportation_Utilities
FRT,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
FSLR,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
FTNT,3577,"COMPUTER PERIPHERAL EQUIPMENT, NEC",stocks,Manufacturing
FTV,3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",stocks,Manufacturing
GD,3730,SHIP & BOAT BUILDING & REPAIRING,stocks,Manufacturing
GDDY,7373,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,stocks,Services
GE,3600,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),stocks,Manufacturing
GEHC,3844,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,stocks,Manufacturing
GEN,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
GEV,3600,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),stocks,Manufacturing
GILD,2836,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",stocks,Manufacturing
GIS,2040,GRAIN MILL PRODUCTS,stocks,Manufacturing
GL,6311,LIFE INSURANCE,stocks,Finance_Insurance_RealEstate
GLW,3357,DRAWING & INSULATING OF NONFERROUS WIRE,stocks,Manufacturing
GM,3711,MOTOR VEHICLES & PASSENGER CAR BODIES,stocks,Manufacturing
